1.012579	3.541284
1.075472	3.596330
1.138365	3.651376
1.213836	3.706422
1.276730	3.788991
1.345912	3.871560
1.427673	3.981651
1.540881	4.091743
1.647799	4.174312
1.773585	4.284404
1.874214	4.366972
2.000000	4.449541
2.094340	4.532110
2.194969	4.642202
2.320755	4.752294
2.440252	4.779817
2.566038	4.807339
2.685535	4.834862
2.767296	4.752294
2.861635	4.779817
2.968553	4.807339
3.088050	4.752294
3.169811	4.642202
3.251572	4.559633
3.339623	4.532110
3.396226	4.449541
3.459119	4.449541
3.509434	4.174312
3.559748	3.871560
3.610063	3.844037
3.679245	3.513761
3.742138	2.963303
3.792453	3.321101
3.849057	3.155963
3.893082	2.908257
3.924528	2.577982
3.949686	3.018349
3.968553	2.770642
4.044025	1.724771
4.062893	2.715596
4.088050	1.532110
4.125786	2.715596
4.220126	2.798165
4.220126	1.697248
4.276730	2.467890
4.327044	2.357798
4.402516	2.302752
4.440252	1.724771
4.509434	2.495413
4.591195	1.669725
4.666667	2.275229

